param,value,solved,episode_solved,final_avg_reward
GAMMA,0.9,0,-,-2.23
GAMMA,0.999,1,494,90.04
GAE_LAMBDA,0.8,1,510,90.03
GAE_LAMBDA,0.99,0,-,-2.3
CLIP_EPSILON,0.1,1,759,90.27
CLIP_EPSILON,0.3,1,766,90.1
LR_ACTOR,0.0001,0,-,-2.25
LR_ACTOR,0.001,1,478,90.16
EPOCHS,5,0,-,-2.29
EPOCHS,20,1,413,90.04
ACTION_STD,0.4,0,-,-1.01
ACTION_STD,0.8,1,713,90.06
