Episode,Reward,Avg_Reward_Last_100
1,-1092.623403628327,-1092.623403628327
2,-1173.6735655800226,-1133.1484846041749
3,-1091.8665617320423,-1119.3878436467974
4,-1494.1488621742785,-1213.0780982786675
5,-1343.2449108140368,-1239.1114607857412
6,-1653.7765236911657,-1308.222304603312
7,-1521.3664633351452,-1338.671470136431
8,-1526.7205001302582,-1362.1775988856598
9,-1489.7126277563798,-1376.348157649073
10,-1228.751181498991,-1361.5884600340648
11,-907.8630997989184,-1320.3407000126879
12,-1325.9445083359492,-1320.8076840396263
13,-1010.0019146490492,-1296.8995479326588
14,-916.1094430566967,-1269.700254727233
15,-785.6038164857808,-1237.4271588444694
16,-1066.9626465725762,-1226.773126827476
17,-525.0278751824928,-1185.493994377771
18,-1165.9143962578933,-1184.4062389266667
19,-1408.5869889702735,-1196.205225771067
20,-1221.6982877269745,-1197.4798788688624
21,-2.665218972783595,-1140.5839426833347
22,-259.1959254098408,-1100.5208509890851
23,-1.3031540669005193,-1052.7287772098596
24,-130.33390322720788,-1014.2956574605827
25,-386.4482117652612,-989.1817596327699
26,-253.07173530245134,-960.8698356200653
27,-260.85892508049994,-934.9435056000815
28,-124.19735458418523,-905.9882859209423
29,-250.92944549882097,-883.4000500443174
30,-389.1666889946287,-866.9256046759945
31,-130.27554121327265,-843.1626994030034
32,-258.7880519981827,-824.9009916716027
33,-376.4508976509269,-811.3115948830974
34,-123.57233770872053,-791.0839696720863
35,-874.0937804615044,-793.455678551784
36,-243.8752332666623,-778.1895550716417
37,-126.83425243734669,-760.5853577031473
38,-125.5889875616247,-743.8749269099493
39,-0.7523622943981209,-724.8205021762172
40,-122.83367773876074,-709.7708315652808
41,-130.67641206395876,-695.6465774311023
42,-123.53680301732663,-682.0249161355362
43,-241.85563561628794,-671.7884212397397
44,-124.03115763587503,-659.33939252147
45,-383.76228564967397,-653.215456813208
46,-124.18234135472152,-641.7147369119365
47,-126.60516318446149,-630.7549587475221
48,-126.12566607075627,-620.2418484834228
49,-392.3856964931678,-615.5917229326013
50,-122.65124595682668,-605.7329133930857
51,-128.18538077806173,-596.3692362829872
52,-120.4457844961916,-587.2168622101642
53,-0.86165291283937,-576.1535563743656
54,-123.8604679409432,-567.7777584404133
55,-121.70638347883114,-559.6673698047482
56,-236.89560334591357,-553.9035882608405
57,-294.58095806557446,-549.3540684328533
58,-124.48887728771436,-542.0288065165578
59,-329.3853095641611,-538.424679449568
60,-230.42355032696145,-533.2913272975246
61,-330.1103113475439,-529.9604909704757
62,-231.25784782396076,-525.1427064035964
63,-121.4593637806485,-518.7350342984703
64,-123.11246938874184,-512.5534317217558
65,-125.79786630126905,-506.6033460999022
66,-122.3282571575288,-500.78099626744194
67,-0.48117194656418455,-493.3138347104139
68,-117.01568775498804,-487.78003843165766
69,-244.09573305396165,-484.2483818319809
70,-391.7412380667866,-482.92685120676384
71,-120.94679592685098,-477.8285405690186
72,-121.79197107711708,-472.88358821496445
73,-372.995853421301,-471.51526308080463
74,-364.4743962794759,-470.06876488078666
75,-119.99361189140686,-465.40109617426157
76,-125.66461695408974,-460.9308793424172
77,-0.6065129556915574,-454.95264081791424
78,-124.75251671828623,-450.71930589356
79,-244.1798532164517,-448.1048824419511
80,-356.77519277348836,-446.96326132109544
81,-122.18200643819951,-442.95361619908437
82,-247.27411086597908,-440.5672807681928
83,-228.10033005614136,-438.00743798852955
84,-123.9468428785607,-434.26862138007755
85,-339.1750843578462,-433.14987388569836
86,-118.34000700953541,-429.4892940383011
87,-121.45386126020486,-425.94865687993223
88,-0.482506617623734,-421.113814263315
89,-122.43301691748475,-417.75785024819334
90,-327.75287542573716,-416.7577949723883
91,-0.721286178050316,-412.1859652054175
92,-122.44911365989242,-409.03665160166184
93,-114.37222575069411,-405.8682169150923
94,-242.17744697142973,-404.12682574547887
95,-233.5920893535154,-402.3317232571424
96,-0.5969476715090138,-398.1469860114587
97,-117.89831327697597,-395.25782443687643
98,-249.44000994665572,-393.7698875543232
99,-249.0095010060057,-392.3076614275725
100,-234.98427502143,-390.7344275635111
101,-347.4002798481176,-383.28219632570887
102,-262.9275210981349,-374.17473588089007
103,-122.15937389783915,-364.47766400254807
104,-238.0922183942203,-351.91709756474745
105,-2.2099875159581277,-338.50674833176663
106,-121.03495086356263,-323.1793326034906
107,-121.96889786034019,-309.1853569487426
108,-1.102648648906339,-293.92917843392905
109,-123.93505123010318,-280.2714026686663
110,-238.04438840274838,-270.36433473770387
111,-117.5616793568178,-262.4613205332829
112,-121.40697812131609,-250.41594523113653
113,-245.96954914974063,-242.77562157614346
114,-119.98549095151458,-234.81438205509164
115,-125.73891098945852,-228.21573300012838
116,-233.19274250163372,-219.87803395941899
117,-2.1974310560334116,-214.64972951815437
118,-123.28734986016048,-204.22345905417703
119,-231.81168804377535,-192.45570604491206
