Episode,Reward,Avg_Reward_Last_100
1,-1345.7312873977332,-1345.7312873977332
2,-766.0541389133901,-1055.8927131555618
3,-1310.770776446793,-1140.852067585972
4,-1812.380357205856,-1308.734139990943
5,-1803.6384008184348,-1407.7149921564414
6,-1662.5540070624613,-1450.1881613074447
7,-1253.3032719669138,-1422.0617485445116
8,-1342.0546828541578,-1412.0608653332176
9,-1313.4439827179742,-1401.1034339315238
10,-1315.9165110441224,-1392.5847416427837
11,-1417.1191015161758,-1394.8151379949102
12,-1204.6522465655175,-1378.9682303757943
13,-906.5132426037554,-1342.6255390087144
14,-1185.1376977037557,-1331.3764074869316
15,-1059.5690697687266,-1313.2559183057178
16,-632.9864274585058,-1270.7390751277671
17,-260.9939681045623,-1211.342304126402
18,-528.9071208427823,-1173.429238388423
19,-130.2420260533297,-1118.5246482655234
20,-258.6780802218743,-1075.532319863341
21,-1029.0530111025355,-1073.31901944616
22,-252.29550374892318,-1035.999768732649
23,-124.59831318364674,-996.3736184913881
24,-1357.9850363184355,-1011.4407609008485
25,-123.79776351134147,-975.9350410052683
26,-246.88982085900372,-947.894840230412
27,-0.39812549947957954,-912.8023693144515
28,-124.74458749148019,-884.6574485350596
29,-240.33698041937393,-862.4395013586568
30,-373.6265310153415,-846.1457356805463
31,-248.92087508772426,-826.8804175969069
32,-370.966492907444,-812.633107450361
33,-247.11065883456737,-795.4960635529127
34,-1.6532031441417807,-772.1477441291254
35,-504.55910339172556,-764.502354393771
36,-1051.5189927082388,-772.4750387913951
37,-251.32741069819275,-758.3899677618491
38,-124.56435072939512,-741.710346260995
39,-0.7283473747235448,-722.7108078280137
40,-0.5182470757474715,-704.6559938092071
41,-122.78330144942406,-690.4639769223832
42,-342.87013335644036,-682.1879330279559
43,-126.09920912972677,-669.2556371233459
44,-127.47001097111205,-656.9423274380679
45,-243.1006119280998,-647.7458448711798
46,-127.13842537601299,-636.4282922734586
47,-244.1842643163382,-628.0826746573498
48,-121.61749367414531,-617.5313167201997
49,-126.15830698422448,-607.503296113343
50,-123.55948947907345,-597.8244199806576
51,-118.8914068885859,-588.4335765866954
52,-362.01600108328876,-584.0793924423991
53,-125.30967057112274,-575.4233599542619
54,-465.6770553964336,-573.3910209809687
55,-122.94945242633895,-565.2011742799755
56,-114.89977336652676,-557.1600778350925
57,-126.16018372430177,-549.5986761840261
58,-123.66213451870003,-542.2549427070377
59,-124.33536462285072,-535.1715600276447
60,-125.2856089095933,-528.3401275090105
61,-120.6132472430713,-521.6560802915361
62,-124.22592792908148,-515.2459165437546
63,-124.93949270371942,-509.05057648280166
64,-125.23790008496431,-503.0535034140853
65,-369.40099743873935,-500.99731101446463
66,-357.9247511849233,-498.8295449564412
67,-236.68306626351665,-494.9169109460991
68,-124.71444206716443,-489.4727569919971
69,-0.6111360781173877,-482.38780596425966
70,-126.14028991996867,-477.29855573505546
71,-124.26943678868763,-472.32631462313475
72,-119.94609993269749,-467.4321449746566
73,-125.44377824339115,-462.74737282765295
74,-0.6980254290979717,-456.50346272767246
75,-238.55069989342257,-453.59742588988246
76,-117.6091629844488,-449.1765276937584
77,-113.96401721437267,-444.82311846675333
78,-117.61531905433819,-440.62814667941467
79,-2.6931457658904967,-435.0846656551929
80,-251.24712960452288,-432.7866964545595
81,-123.71281495784636,-428.9709695225013
82,-125.24160647803551,-425.2669529000078
83,-496.1628424129621,-426.12112024353735
84,-119.76061695058489,-422.4739713948117
85,-118.68213000714469,-418.8999497314274
86,-355.9578757813672,-418.16806515061273
87,-126.45654960958753,-414.8150592248538
88,-126.08440872292587,-411.5340291055138
89,-121.49531975615372,-408.27516720271205
90,-125.81335364389464,-405.1367026076141
91,-122.98422403406035,-402.0361259199926
92,-123.12791865683435,-399.00451497148003
93,-129.3706079245274,-396.1052256483945
94,-452.20899362704773,-396.7020742439121
95,-121.86574738096995,-393.8090602769338
96,-126.27357506080992,-391.02223230593245
97,-118.4075098044969,-388.21177124921667
98,-121.89988312494089,-385.49430300305056
99,-228.28804191213075,-383.90636097182914
100,-0.44248689631104915,-380.0717222310739
101,-117.32254776427965,-367.7876348347394
102,-365.747515771954,-363.78456860332494
103,-239.18180353329194,-353.06867887419
104,-120.79991868689105,-336.15287448900034
105,-117.09262365387673,-319.28741671735474
106,-122.13368180002743,-303.88321346473043
107,-418.69625943832233,-295.5371433394445
108,-122.90006994835115,-283.3455972103864
109,-239.1852070751715,-272.60300945395846
110,-128.19489616164077,-260.7257933051336
111,-237.70758607545451,-248.9316781507264
112,-238.6374432764655,-239.27153011783582
113,-235.83311227232045,-232.56472881452152
114,-228.01042556144404,-222.9934560930984
115,-122.17378833817129,-213.61950327879285
116,-119.80912398809487,-208.48773024408877
117,-125.93539724815827,-207.13714453552473
118,-244.03174437274495,-204.28839077082432
119,-229.51897604552428,-205.28116027074626
120,-353.0766104242781,-206.22514557277034
121,-246.61294823353015,-198.4007449440803
