Seed,Episode,Reward,Avg_Reward_Last_100
0,1,-1345.7312873977332,-1345.7312873977332
0,2,-766.0541389133901,-1055.8927131555618
0,3,-1310.770776446793,-1140.852067585972
0,4,-1812.380357205856,-1308.734139990943
0,5,-1803.6384008184348,-1407.7149921564414
0,6,-1662.5540070624613,-1450.1881613074447
0,7,-1253.3032719669138,-1422.0617485445116
0,8,-1342.0546828541578,-1412.0608653332176
0,9,-1313.4439827179742,-1401.1034339315238
0,10,-1315.9165110441224,-1392.5847416427837
0,11,-1417.1191015161758,-1394.8151379949102
0,12,-1204.6522465655175,-1378.9682303757943
0,13,-906.5132426037554,-1342.6255390087144
0,14,-1185.1376977037557,-1331.3764074869316
0,15,-1059.5690697687266,-1313.2559183057178
0,16,-632.9864274585058,-1270.7390751277671
0,17,-260.9939681045623,-1211.342304126402
0,18,-528.9071208427823,-1173.429238388423
0,19,-130.2420260533297,-1118.5246482655234
0,20,-258.6780802218743,-1075.532319863341
0,21,-1029.0530111025355,-1073.31901944616
0,22,-252.29550374892318,-1035.999768732649
0,23,-124.59831318364674,-996.3736184913881
0,24,-1357.9850363184355,-1011.4407609008485
0,25,-123.79776351134147,-975.9350410052683
0,26,-246.88982085900372,-947.894840230412
0,27,-0.39812549947957954,-912.8023693144515
0,28,-124.74458749148019,-884.6574485350596
0,29,-240.33698041937393,-862.4395013586568
0,30,-373.6265310153415,-846.1457356805463
0,31,-248.92087508772426,-826.8804175969069
0,32,-370.966492907444,-812.633107450361
0,33,-247.11065883456737,-795.4960635529127
0,34,-1.6532031441417807,-772.1477441291254
0,35,-504.55910339172556,-764.502354393771
0,36,-1051.5189927082388,-772.4750387913951
0,37,-251.32741069819275,-758.3899677618491
0,38,-124.56435072939512,-741.710346260995
0,39,-0.7283473747235448,-722.7108078280137
0,40,-0.5182470757474715,-704.6559938092071
0,41,-122.78330144942406,-690.4639769223832
0,42,-342.87013335644036,-682.1879330279559
0,43,-126.09920912972677,-669.2556371233459
0,44,-127.47001097111205,-656.9423274380679
0,45,-243.1006119280998,-647.7458448711798
0,46,-127.13842537601299,-636.4282922734586
0,47,-244.1842643163382,-628.0826746573498
0,48,-121.61749367414531,-617.5313167201997
0,49,-126.15830698422448,-607.503296113343
0,50,-123.55948947907345,-597.8244199806576
0,51,-118.8914068885859,-588.4335765866954
0,52,-362.01600108328876,-584.0793924423991
0,53,-125.30967057112274,-575.4233599542619
0,54,-465.6770553964336,-573.3910209809687
0,55,-122.94945242633895,-565.2011742799755
0,56,-114.89977336652676,-557.1600778350925
0,57,-126.16018372430177,-549.5986761840261
0,58,-123.66213451870003,-542.2549427070377
0,59,-124.33536462285072,-535.1715600276447
0,60,-125.2856089095933,-528.3401275090105
0,61,-120.6132472430713,-521.6560802915361
0,62,-124.22592792908148,-515.2459165437546
0,63,-124.93949270371942,-509.05057648280166
0,64,-125.23790008496431,-503.0535034140853
0,65,-369.40099743873935,-500.99731101446463
0,66,-357.9247511849233,-498.8295449564412
0,67,-236.68306626351665,-494.9169109460991
0,68,-124.71444206716443,-489.4727569919971
0,69,-0.6111360781173877,-482.38780596425966
0,70,-126.14028991996867,-477.29855573505546
0,71,-124.26943678868763,-472.32631462313475
0,72,-119.94609993269749,-467.4321449746566
0,73,-125.44377824339115,-462.74737282765295
0,74,-0.6980254290979717,-456.50346272767246
0,75,-238.55069989342257,-453.59742588988246
0,76,-117.6091629844488,-449.1765276937584
0,77,-113.96401721437267,-444.82311846675333
0,78,-117.61531905433819,-440.62814667941467
0,79,-2.6931457658904967,-435.0846656551929
0,80,-251.24712960452288,-432.7866964545595
0,81,-123.71281495784636,-428.9709695225013
0,82,-125.24160647803551,-425.2669529000078
0,83,-496.1628424129621,-426.12112024353735
0,84,-119.76061695058489,-422.4739713948117
0,85,-118.68213000714469,-418.8999497314274
0,86,-355.9578757813672,-418.16806515061273
0,87,-126.45654960958753,-414.8150592248538
0,88,-126.08440872292587,-411.5340291055138
0,89,-121.49531975615372,-408.27516720271205
0,90,-125.81335364389464,-405.1367026076141
0,91,-122.98422403406035,-402.0361259199926
0,92,-123.12791865683435,-399.00451497148003
0,93,-129.3706079245274,-396.1052256483945
0,94,-452.20899362704773,-396.7020742439121
0,95,-121.86574738096995,-393.8090602769338
0,96,-126.27357506080992,-391.02223230593245
0,97,-118.4075098044969,-388.21177124921667
0,98,-121.89988312494089,-385.49430300305056
0,99,-228.28804191213075,-383.90636097182914
0,100,-0.44248689631104915,-380.0717222310739
0,101,-117.32254776427965,-367.7876348347394
0,102,-365.747515771954,-363.78456860332494
0,103,-239.18180353329194,-353.06867887419
0,104,-120.79991868689105,-336.15287448900034
0,105,-117.09262365387673,-319.28741671735474
0,106,-122.13368180002743,-303.88321346473043
0,107,-418.69625943832233,-295.5371433394445
0,108,-122.90006994835115,-283.3455972103864
0,109,-239.1852070751715,-272.60300945395846
0,110,-128.19489616164077,-260.7257933051336
0,111,-237.70758607545451,-248.9316781507264
0,112,-238.6374432764655,-239.27153011783582
0,113,-235.83311227232045,-232.56472881452152
0,114,-228.01042556144404,-222.9934560930984
