Episode,Reward,Avg_Reward_Last_10
1,-855.2801277351659,-855.2801277351659
2,-1836.6697244082918,-1345.974926071729
3,-1430.136905455426,-1374.028919199628
4,-880.7747142386736,-1250.7153679593894
5,-861.9938915507834,-1172.9710726776682
6,-1242.4981285976662,-1184.5589153310013
7,-1268.7400767498557,-1196.5847955336947
8,-1336.5199397894107,-1214.0766885656592
9,-1474.8814271241147,-1243.0549928499322
10,-969.3773339988868,-1215.6872269648277
11,-1766.936129627186,-1306.8528271540295
12,-873.4885299792203,-1210.5347077111223
13,-899.3178861164033,-1157.45280577722
14,-1497.77937497006,-1219.1532718503586
15,-1023.3593419265777,-1235.289816887938
16,-870.2307331359711,-1198.0630773417686
17,-1583.8477051030118,-1229.5738401770843
18,-717.4394553728091,-1167.665791735424
19,-759.2320937224456,-1096.100858395257
20,-1793.9754739057796,-1178.5606723859464
21,-903.4869670178294,-1092.2157561250106
22,-1070.9602888292352,-1111.9629320100123
23,-960.192340532223,-1118.0503774515942
24,-1478.7730676594888,-1116.1497467205372
25,-1634.334228389968,-1177.247235366876
26,-1146.7483674366526,-1204.8989987969442
27,-1350.652667856314,-1181.5794950722745
28,-1495.628085245716,-1259.3983580595655
29,-2.618660634740424,-1183.7370147507947
30,-382.57091255911456,-1042.5965586161283
31,-127.65678474054909,-965.0135403884002
32,-265.80440105367586,-884.4979516108442
33,-127.70377445523744,-801.2490950031457
34,-257.7371919335364,-679.1455074305504
35,-125.23713113206288,-528.23579770476
36,-123.05422518482239,-425.86638347957694
37,-2.5449006432188503,-291.05560675826734
38,-3.967263358169799,-141.88952456951276
39,-126.48333023841259,-154.27599152987997
40,-381.61251717050897,-154.18015199101944
41,-253.9684334588069,-166.81131686284522
42,-3.0028845907841366,-140.53116521655602
43,-129.9945099783543,-140.76023876886774
44,-250.22340131218485,-140.00885970673258
45,-272.09903298787225,-154.69504989231353
46,-233.2030494880616,-165.70993232263743
47,-352.90017948365164,-200.74546020668072
48,-351.95976355965996,-235.54471022682975
49,-258.00024306019253,-248.69640150900773
50,-231.5859199547075,-233.6937417874276
51,-0.6588536995972014,-208.3627838115066
52,-114.94377581986579,-219.5568729344148
53,-118.04834596466057,-218.3622565330454
54,-1.2794195716004415,-193.46785835898694
55,-334.456564297784,-199.70361148997807
56,-129.2845224117437,-189.31175878234632
57,-130.19504326176818,-167.04124516015798
58,-124.02012207371423,-144.24728101156342
59,-269.3156723719287,-145.37882394273703
60,-250.8904800961916,-147.30927995688546
61,-122.96850540202638,-159.54024512712834
62,-370.58021313248304,-185.10388885839012
63,-119.10746112805035,-185.20980037472907
64,-248.39289136183746,-209.92114755375277
65,-240.19862740941997,-200.49535386491635
66,-130.15946579001732,-200.58284820274372
67,-124.5030578347459,-200.0136496600415
68,-121.01168877547173,-199.71280633021723
69,-121.39069529475749,-184.9203086225001
70,-714.3773243267992,-231.2689930455609
71,-4.568191191238319,-219.4289616244821
72,-248.07654852199596,-207.17859516343339
73,-4.360888983045856,-195.70393794893292
74,-254.12385654815338,-196.2770344675645
75,-4.651696245735936,-172.72234135119612
76,-348.97351436205025,-194.6037462083994
77,-244.1482781326458,-206.56826823818938
78,-119.81506897085012,-206.44860625772722
79,-272.41821061952487,-221.55135779020398
80,-249.15469416824678,-175.02909477434872
81,-124.5173228057436,-187.02400793579926
82,-0.44110577358276354,-162.26046366095795
83,-121.82967070960824,-174.0073418336142
84,-119.7204610334741,-160.56700228214623
85,-237.58689179133535,-183.86052183670617
86,-124.00380592203052,-161.36355099270423
87,-119.52987472629125,-148.90171065206874
88,-233.18835752377302,-160.23903950736104
89,-126.27181066191643,-145.6243995116002
90,-235.03562898558172,-144.21249299333368
91,-248.2410227761072,-156.58486299037006
92,-243.19726738732692,-180.8604791517445
93,-124.46371519336452,-181.1238836001201
94,-130.79703850266242,-182.23154134703893
95,-131.12468528091736,-171.58532069599715
96,-120.54364529467237,-171.23930463326133
97,-5.391821542858062,-159.82549931491798
98,-369.7467316092571,-173.4813367234664
99,-346.9470661561618,-195.54886227289094
100,-369.46058795514534,-208.9913581698473
