Episode,Original_Reward,Shaped_Reward,Avg_Original_Reward_Last_100
1,-33.56238686241184,1.297865621552751,-33.56238686241184
2,-33.33921760147686,6.507152501787685,-33.45080223194435
3,-31.758859367092036,-5.643794642331072,-32.88682127699358
4,-27.702299442361884,15.9365701024415,-31.59069081833566
5,-22.823190079082316,45.37817273382559,-29.83719067048499
6,-14.960399815851437,41.64162660768254,-27.357725528046064
7,-9.428586189291396,22.69880052920228,-24.79641990822397
8,-7.325358435281685,20.996422816561633,-22.612537224106184
9,-5.107606905439206,28.820618606174506,-20.66754496647652
10,-2.882868021019522,40.7809637797144,-18.889077271930823
11,-1.7498593145344619,45.028412314952384,-17.33096654853115
12,-1.5623832269838338,4.127921728754872,-16.01691793840221
13,94.89981112523475,152.897861029318,-7.484861856583981
14,-27.83782060319358,126.51688574844805,-8.938644624198952
15,-7.966543391498961,61.20488653965358,-8.873837875352287
16,91.87436298340236,181.49239769800727,-2.577075321680118
17,94.25112731662452,103.55591531814284,3.118701304102508
18,82.60682500096915,104.31945355702081,7.534708176150654
19,88.9268738887482,108.60920518113618,11.818506371550527
20,91.287571408381,110.76947268672195,15.79195962339205
21,91.61928736176066,112.98023016934762,19.402784753790552
22,94.83854625906929,106.99608922419317,22.831683004030495
23,89.66708099554388,112.77127790353268,25.73756987322673
24,91.52580094806316,113.06444941516665,28.478746168011583
25,94.84352772297275,106.27020318052378,31.13333743021003
26,95.73612035096552,108.22752294964552,33.618059850239085
27,95.06135677003657,107.0984476783069,35.89373751393529
28,94.39706582476873,105.56720260722585,37.98314209646505
29,93.95815284278741,104.86604902103808,39.913314880821005
30,94.66677978944844,109.09277526462446,41.738430377775245
31,94.74923654269922,108.36709410795855,43.448456383095376
32,93.27161977011947,112.44044350482746,45.00543023893988
33,94.13449694124401,107.93915665081121,46.4941898359794
34,93.87412105144712,106.73566088614997,47.88771722466963
35,93.71955162571376,108.42379413984,49.1971982075566
36,93.64127319204614,106.86775777532945,50.431755846014646
37,93.56241190759428,107.46365827898225,51.59744925308436
38,90.58889877647002,112.85291979374219,52.62354003001556
39,94.18777752195862,105.94717489964066,53.689289709296155
40,93.9952793398836,106.38280254004279,54.69693945006084
41,93.45051583597355,108.34705848315765,55.64214863020504
42,92.7198457582993,111.21547820305507,56.52495094277872
43,93.53067019107283,109.39333442559172,57.38554906483207
44,88.70757281037926,112.86924604766514,58.09741324086723
45,93.72920855425777,109.32007222913684,58.88923091449813
