Episode,Reward,Avg_Reward_Last_10
1,-969.0639330246674,-969.0639330246674
2,-1207.6216766978941,-1088.342804861281
3,-1340.3728501031035,-1172.3528199418886
4,-1738.5383127168977,-1313.8991931356409
5,-1401.3498719791362,-1331.38932890434
6,-964.5310753900494,-1270.2462866519581
7,-1148.2955312561423,-1252.8247501668416
8,-1085.4502100280188,-1231.9029326494888
9,-1682.8023945162315,-1282.0028728569046
10,-1246.6322557738454,-1278.4658111485987
11,-1240.6608725293474,-1305.625505099067
12,-779.6175190876784,-1262.825089338045
13,-1269.624289641393,-1255.750233291874
14,-893.740874696212,-1171.2704894898054
15,-1602.4991447780567,-1191.3854167696977
16,-1572.671118564549,-1252.1994210871474
17,-1178.9365348029742,-1255.2635214418308
18,-1296.932044698625,-1276.4117049088914
19,-1277.6564378906821,-1235.8971092463366
20,-1198.5471116426625,-1231.088594833218
21,-1611.748087359559,-1268.1973163162395
22,-1178.8782632744887,-1308.1233907349203
23,-1477.8109256148086,-1328.9420543322617
24,-1684.751521769822,-1408.0431190396228
25,-767.8130154067073,-1324.5745061024877
26,-1593.1835194227485,-1326.6257461883079
27,-692.9039791881418,-1278.0224906268245
28,-1375.5140220588278,-1285.8806883628447
29,-983.211821536302,-1256.4362267274068
30,-519.4555009524499,-1188.5270656583857
31,-0.9112302204078204,-1027.4433799444705
32,-3.3644026817238335,-909.8919938851941
33,-256.77788668351474,-787.7886899920646
34,-0.4472460568326126,-619.3582624207655
35,-403.4317918344015,-582.920140063535
36,-0.42028552981153783,-423.6438166742414
37,-130.56797873765782,-367.410216629193
38,-250.91304744832038,-254.95011916814224
39,-128.20814861205227,-169.44975187571725
40,-129.04549776149187,-130.40875155662144
41,-368.98742366616347,-167.216370901197
42,-374.77316468481257,-204.3572471015059
43,-132.81351471385727,-191.96080990454013
44,-400.63357956939376,-231.9794432557963
45,-389.73645637904383,-230.6099097102605
46,-247.80546433220397,-255.3484275904997
47,-126.4371355359039,-254.93534327032435
48,-239.6004865840833,-253.80408718390063
49,-262.0668731039664,-267.18995963309203
50,-118.49385786394194,-266.13479564333704
51,-2.1593571943524856,-229.451988996156
52,-254.83910126102398,-217.4585826537771
53,-128.3981108540526,-217.01704226779663
54,-388.52463676806383,-215.80614798766365
55,-125.92673488261772,-189.425175838021
56,-122.59209662643069,-176.90383906744367
57,-120.96621152349425,-176.3567466662027
58,-127.47813764912502,-165.1445117727069
59,-124.18405447064292,-151.35622990937455
60,-123.31457472737763,-151.8383015957181
61,-463.46328361268945,-197.9686942375518
62,-122.21502026100997,-184.70628613755042
63,-240.7667220466356,-195.9431472568087
64,-1.9681293672693176,-157.28749651672925
65,-119.7019776543496,-156.66502079390244
66,-1.6081938018984332,-144.5666305114492
67,-118.74122738396994,-144.34413209749678
68,-373.6128839694172,-168.95760672952602
69,-351.1982894443446,-191.65903022689616
70,-336.4494815254086,-212.97252090669926
71,-251.04202468327298,-191.73039501375763
72,-240.8173118925493,-203.59062417691155
73,-121.24378328323681,-191.63833030057168
74,-238.60510087271578,-215.30202745111632
75,-361.1194088734111,-239.4437705730225
76,-348.0524859660896,-274.08819978944155
77,-124.22128232684383,-274.636205283729
78,-120.85063069172018,-249.35997995595932
79,-1.9884093907177505,-214.43899195059657
80,-224.4970928624349,-203.24375308429927
81,-259.9091650651433,-204.13046712248627
82,-117.9682638256494,-191.8455623157963
83,-263.5453893588857,-206.07572292336118
84,-296.6104212287388,-211.87625495896344
85,-116.28800035912064,-187.39311410753442
86,-248.48238659294034,-177.4361041702195
87,-1.0535799342916923,-165.11933393096427
88,-119.78650432577238,-165.0129212943695
89,-119.21370219359024,-176.73545057465674
90,-122.4028024371914,-166.5260215321324
91,-0.7781221833130147,-140.61291724394937
92,-0.6350787016853964,-128.87959873155296
93,-299.3653763823219,-132.4615974338966
94,-116.23590883099875,-114.42414619412259
95,-342.8527293052999,-137.0806190887405
96,-1.250828789713175,-112.35746330841778
97,-119.53112376902797,-124.2052176918914
98,-0.9382011566591346,-112.32038737498007
99,-226.29973606930966,-123.02899076255203
100,-226.5341661720335,-133.44212713603625
